125   416
133   414,2907
141   412,6288
149   411,0602
157   409,6286
165   408,3736
173   407,3299
181   406,5265
189   405,9857
197   405,7223
205   405,7438
213   406,0496
221   406,6311
229   407,4722
237   408,5497
245   409,8336
253   411,2885
261   412,8739
269   414,546
277   416,2583
285   417,9635
293   419,6143
301   421,1649
309   422,5724
317   423,7977
325   424,8069
333   425,5721
341   426,072
349   426,2927
357   426,2282
365   425,8803
373   425,2585
381   424,3801
389   423,2695
397   421,9575
405   420,4803
413   418,879
421   417,1978
429   415,4835
437   413,7835
445   412,1449
453   410,6132
461   409,2307
469   408,0359
477   407,0617
485   406,3353
493   405,8767
501   405,6987
509   405,8062
517   406,1961
525   406,8578
533   407,7728
541   408,9158
549   410,2552
557   411,7538
565   413,37
573   415,0591
581   416,7743
589   418,4681
597   420,0934
605   421,6053
613   422,9619
621   424,1255
629   425,0639
637   425,7512
645   426,1682
653   426,3034
